"0","Whatever it","200","Trip dream usually people","DarkOliveGreen","87","false","436.15"
"1","Tough whole site he our","376","And section run","MediumVioletRed","66","true","405.65"
"2","Way rich theory","31","Make successful recently health","DarkSlateBlue","10","false","412.55"
"3","Put feeling another decide","344","Several usually admit","DarkMagenta","68","true","366.36"
"4","Exactly leader least rather","14","Show upon require","Turquoise","66","true","414.76"
"5","Join away only central firm","341","Score sure","DarkOrchid","18","false","284.82"
"6","Democratic around","494","Pm control","DeepPink","3","false","223.97"
"7","Responsibility mean","285","Glass enter","PaleGoldenRod","34","true","186.62"
"8","Buy try city","165","Adult explain better","SandyBrown","43","false","239.33"
"9","Ability economic onto prove","68","Institution information guess","Gray","50","true","120.58"
"10","Pressure attack generation all indeed","36","Necessary campaign indicate middle security","Magenta","2","false","11.49"
"11","Mouth nation rock suddenly","408","Fly husband agree style company","RoyalBlue","45","true","133.67"
"12","Water color stage look","477","Why generation natural prevent assume","PowderBlue","63","true","347.73"
"13","Meet meeting send price","30","Series site look","Maroon","61","false","343.94"
"14","Another enter before somebody produce","391","Religious war development","PaleVioletRed","95","false","174.08"
"15","Whom run","472","Better pick skin","Turquoise","2","true","128.87"
"16","Heart know allow product exactly","92","Open wish","Silver","62","true","425.19"
"17","Adult course","58","Mind discussion cover everybody","LightBlue","46","false","451.87"
"18","Character option individual","365","Week seek","Peru","28","false","333.26"
"19","Human win but","63","Recently each walk world","DarkGreen","66","false","489.90"
"20","Themselves party information million","380","Point fill","MistyRose","38","false","62.79"
"21","Customer remain administration fear stop","14","Morning thus any","SkyBlue","56","true","348.63"
"22","Involve bit inside","363","Number wall pressure","AntiqueWhite","23","true","29.14"
"23","Really give between even","76","Professor soldier region play","MistyRose","12","true","13.62"
"24","Necessary these group","231","Staff firm","SandyBrown","72","false","221.64"
"25","Stock political design start","406","Work most few available pass","BlueViolet","28","false","441.01"
"26","Rest long point fire","299","Offer to second method","Peru","43","true","167.85"
"27","Prove pretty I","266","Own public state","Violet","21","false","116.57"
"28","Food task","364","Exactly goal American party","DarkGray","28","false","389.52"
"29","From coach","54","Along free evening themselves big","LightGoldenRodYellow","31","true","283.15"
"30","Back agreement pretty","141","Probably include fly seem","PapayaWhip","46","true","321.10"
"31","Few sport analysis","409","Anyone authority","Ivory","36","true","415.57"
"32","Agreement do professional","462","Material often dream","Cornsilk","73","true","253.32"
"33","Total yeah","84","Conference exist how factor","SkyBlue","92","false","305.06"
"34","Worry buy dream","284","Although stand single company","OliveDrab","90","true","447.80"
"35","Serious perform cultural per note","165","Indeed give organization tax","SandyBrown","91","true","370.28"
"36","Happen after fall","10","Consider machine staff stop","LightCoral","56","true","14.37"
"37","Walk show window","433","Friend soldier material work","Plum","19","false","182.09"
"38","Understand actually something","418","Congress interview campaign attention","Coral","92","false","482.80"
"39","Food shake marriage still can","250","Country challenge","Lavender","85","true","88.08"
"40","Recently community federal experience","495","General later doctor pretty receive","MediumSlateBlue","64","false","299.16"
"41","Close such mother around","195","Political executive speak","Chocolate","88","false","105.85"
"42","Catch social believe","347","Still show foreign","Tomato","54","false","498.75"
"43","Manager be change brother","89","Inside article soon situation","DarkCyan","51","true","99.78"
"44","Behavior worker push","50","Field grow rule each","LawnGreen","40","true","88.44"
"45","Center science entire main","182","Push bad","LemonChiffon","34","false","325.11"
"46","Should shake myself","79","The bed information","DarkSalmon","60","true","278.36"
"47","Goal source author blood modern","470","Center west office","Moccasin","97","true","85.46"
"48","Enter seven TV","315","Material article year mention","GreenYellow","10","true","384.35"
"49","Right each allow","185","Serious major your station","DarkGreen","28","false","344.94"
"50","Worker decade fund window Republican","224","Not issue process","Orchid","34","false","166.73"
"51","Area likely system forward practice","478","Happy everything institution toward","DarkOrchid","81","true","305.41"
"52","International contain close myself","482","Guess stage these agent election","DimGray","91","true","191.50"
"53","Film provide us","387","Thus movement them","MediumVioletRed","4","false","160.30"
"54","Simple affect school one","18","Current already candidate form glass","Ivory","6","true","150.09"
"55","Heavy among or face","32","If short great those store","MediumSeaGreen","46","false","31.00"
"56","Court process future attention","6","Contain respond again with","MediumSpringGreen","15","false","35.81"
"57","In window early","409","Industry society write","MintCream","11","true","439.06"
"58","Front allow watch possible system","189","Window begin benefit","Fuchsia","1","false","339.62"
"59","Social wife table road foot","413","Its ask","Sienna","25","true","285.40"
"60","Serious entire work yes mind","210","Their continue","DarkGray","56","true","114.61"
"61","Door whatever","70","Sign throughout","LemonChiffon","36","true","60.19"
"62","For member","472","Seem somebody but we walk","Green","55","false","232.90"
"63","Feel wrong power news","256","Attorney as represent","Khaki","64","true","175.76"
"64","Central market","167","Nation factor include social room","DarkCyan","3","false","165.20"
"65","Prove true","114","Message family practice because","YellowGreen","43","false","313.13"
"66","History another always serve","383","Stuff coach pay","Thistle","67","false","102.70"
"67","Development participant","20","Threat plan rich attorney notice","DarkTurquoise","9","false","397.01"
"68","Discuss bad oil bring according","470","Week chance commercial cut","PaleTurquoise","57","true","109.85"
"69","Exactly east energy ahead prevent","145","Development subject agent author","LightSkyBlue","25","true","234.61"
"70","Blue thing room main","120","Step manage kind point message","PaleTurquoise","14","true","464.14"
"71","Possible behavior picture say","308","Agree stay life","LavenderBlush","61","false","432.70"
"72","Yes one member","395","Manager special","Indigo","76","false","76.87"
"73","Parent avoid","44","Ready evening but","WhiteSmoke","25","false","155.23"
"74","Computer fine","128","Offer firm last pattern look","DarkOrange","12","true","66.49"
"75","Dark range player us","68","Across why","Blue","15","false","234.23"
"76","Training produce interest","142","Adult page series","LightSteelBlue","85","false","340.39"
"77","Prepare difference daughter move room","465","Nor color letter","Chartreuse","60","true","363.73"
"78","Hotel else us experience","250","While idea together hundred","Red","97","true","366.12"
"79","There situation rise","426","Among total serve control","MediumVioletRed","38","false","192.80"
"80","Stuff responsibility","458","Factor hope old to thousand","Beige","58","false","342.59"
"81","Ahead paper instead kid throughout","101","Among which century leave","DarkSlateBlue","99","true","113.74"
"82","Professor style discuss off","468","System suffer likely change","DodgerBlue","88","true","102.25"
"83","Develop across","332","Even leg plant","Violet","35","false","9.60"
"84","Per in","385","Receive including he too","Teal","30","true","458.84"
"85","Blood reality write be federal","0","Resource enough","DarkBlue","31","true","85.03"
"86","Firm situation decide level many","338","Study story","LightGray","38","true","22.65"
"87","Wait hand","347","Behavior risk party series","DarkBlue","47","false","476.88"
"88","Reveal career","491","Short number number","Salmon","3","true","97.44"
"89","Grow drop employee wait wide","75","Kind structure","Thistle","54","false","420.67"
"90","Unit moment act friend thank","372","Guy to garden fly","SpringGreen","99","false","372.49"
"91","Family also","197","Site society item our","FloralWhite","66","true","267.22"
"92","Staff fight dark","448","Win party catch","Tan","13","true","280.43"
"93","Success among including push","298","Any radio","LightSeaGreen","82","false","88.40"
"94","Some nice until perform later","220","Order write brother","OldLace","12","false","4.44"
"95","Fish do environmental","143","Choice score","Cornsilk","34","true","110.54"
"96","Keep life","122","Knowledge power interest","OldLace","88","true","484.86"
"97","Walk provide speech party put","262","As expert current so","Indigo","60","false","398.55"
"98","Check film","72","Travel trouble ability even paper","Blue","60","true","495.81"
"99","Operation somebody white within","247","Common city weight under interest","Linen","23","true","26.35"
"100","Movie my throw first same","70","Board skin media realize","DarkSlateBlue","37","true","225.62"
"101","Letter little western sound","369","Central soldier","Orange","14","false","279.35"
"102","Add true music","332","Management discuss inside bill","RosyBrown","52","true","157.90"
"103","Born perhaps personal","498","Media lawyer amount shake phone","AntiqueWhite","76","false","425.31"
"104","Wrong particularly expect","430","Cost whose enter family","DarkBlue","8","false","82.54"
"105","Indicate push form issue","277","Not police actually","HotPink","10","true","340.96"
"106","Cause tend next stage","490","Act theory bad for become","Azure","29","true","205.72"
"107","Store most produce","0","Group interest deep","SlateGray","77","true","370.68"
"108","Fall down","441","Sense trial reason","OliveDrab","17","false","445.55"
