"6BR31","0.11"
"9HST179","0.08"
"820 YTP","0.17"
"660 FHD","0.16"
"WWL-218","0.17"
"480M3","0.10"
"140G4","0.18"
"37LI273","0.10"
"74-48819","0.03"
"5DE M98","0.18"
"DE-6030","0.04"
"Q07 0FE","0.17"
"15P R46","0.09"
"414 2TA","0.15"
"KX3 0401","0.15"
"4IPA 89","0.08"
"3O 6765E","0.07"
"VQG 911","0.12"
"061 BNO","0.14"
"QOX-240","0.14"
"MRV-148","0.05"
"VA7 F5M","0.14"
"FCS 719","0.20"
"BVF-1367","0.12"
"703 OQO","0.16"
"748K0","0.09"
"95C•123","0.14"
"167-RSM","0.08"
"AU-2800","0.15"
"347 BGV","0.06"
"SWR9779","0.01"
"168 GFV","0.08"
"433 5GI","0.10"
"XSI 663","0.14"
"2N JM161","0.08"
"ETD 865","0.20"
"319NQ","0.18"
"831 LJN","0.10"
"IVP-028","0.16"
"32-X631","0.14"
"BDW 491","0.01"
"LEN 951","0.09"
"7265","0.01"
"RP5 5768","0.02"
"574 TOS","0.07"
"DZA9084","0.03"
"T03 7ZS","0.06"
"515-AUW","0.19"
"487Q","0.11"
"MGV 461","0.15"
"ETE 382","0.03"
"6745 CU","0.13"
"13X YW5","0.11"
"18F 119","0.11"
"1I PV243","0.10"
"VAH-214","0.14"
"96K 513","0.07"
"101 ZOZ","0.08"
"732HHA","0.09"
"963P","0.19"
"AWS9025","0.12"
"419MMI","0.20"
"3QN10","0.18"
"326-KBW","0.19"
"5-97349","0.19"
"XHK-665","0.20"
"O14 5ZW","0.02"
"IAJ 072","0.11"
"OH 40615","0.13"
"7SZ5627","0.01"
"623-ZMU","0.05"
"CDC 595","0.16"
"217 EM0","0.03"
"EH 0523","0.10"
"5EQ 735","0.06"
"5QJU 22","0.02"
"GVM3343","0.20"
"U81-HEV","0.11"
"QNN 675","0.19"
"ZDC 392","0.14"
"191 BRZ","0.07"
"251CYV","0.10"
"83L Z53","0.01"
"9EF X44","0.08"
"C11 1LC","0.09"
"6IY5884","0.09"
"161927","0.18"
"161 PZ8","0.06"
"39F E52","0.09"
"YX4 S9Y","0.16"
"8B 8312M","0.19"
"56B 7991","0.12"
"582 KGH","0.11"
"946 7OE","0.09"
"59-02737","0.20"
"8463 OL","0.03"
"828 NBF","0.12"
"SLS 020","0.06"
"053-HJJ","0.19"
"ERY-508","0.16"
"AIX5934","0.02"
"6GV B21","0.12"
"HBF-562","0.14"
"0MJ B18","0.20"
"51-95556","0.07"
"5V 1107K","0.01"
"516-AET","0.14"
"90TH264","0.12"
"158094","0.12"
"ZJC-1612","0.15"
"2ZG 585","0.14"
"1-77338","0.15"
"37T Q60","0.06"
"113-DZO","0.07"
"E58 3EC","0.02"
"587821","0.20"
"GNJ-7434","0.18"
"5-98211","0.08"
"207-ZBVB","0.11"
"HKR 824","0.14"
"X10 6UR","0.16"
"89D HM4","0.10"
"985566","0.17"
"824 PYG","0.20"
"379 QNA","0.02"
"R41 9WU","0.05"
"PRH-198","0.16"
"7GV2424","0.06"
"0-94340O","0.16"
"901MHX","0.20"
"199GDL","0.14"
"771 HSF","0.14"
"893 ZXR","0.03"
"2U F8940","0.15"
"6P 3098R","0.05"
"0Y786","0.20"
"814CT","0.06"
"254715","0.10"
"426 FRJ","0.20"
"792 7KL","0.04"
"6385","0.06"
"AAB1526","0.10"
"696JA","0.09"
"33U D84","0.19"
"F07 0CO","0.13"
"MP4 1176","0.08"
"67-04326","0.02"
"2-5450N","0.17"
"TMO 920","0.13"
"ABT-667","0.19"
"L 085276","0.04"
"3VA9033","0.16"
"231 EK3","0.02"
"467 PUD","0.15"
"936666","0.12"
"832 9OV","0.05"
"WCI 402","0.01"
"2-4013A","0.17"
"977 ZYG","0.17"
"44CY9","0.04"
"51Q W59","0.03"
"235 XLA","0.19"
"8S 97009","0.08"
"ICY-8821","0.17"
"JTF 805","0.13"
"PLS 595","0.10"
"450982","0.15"
"ZUN 395","0.17"
"DVI-740","0.01"
"KEZ-9728","0.07"
"822-ABFN","0.19"
"546 BAV","0.18"
"RTZ7205","0.10"
"31K 761","0.07"
"453 RHF","0.09"
"148-EXO","0.04"
"73-F479","0.06"
"8WD X06","0.20"
"9-68712V","0.07"
"37-6123Z","0.05"
"E95 1XW","0.09"
"0TJ X73","0.19"
"ZZC 650","0.16"
"FFF-146","0.10"
"LET 878","0.11"
"77X J25","0.20"
"Q42 4SW","0.15"
"972 2841","0.13"
"038 WNH","0.15"
"VHA-6176","0.09"
"938 WTU","0.02"
"YEU 290","0.09"
"TJX-267","0.14"
"61I J15","0.14"
"2VK68","0.19"
"731UJA","0.11"
"BKR6980","0.02"
"490-KOC","0.04"
"B80 4QV","0.11"
"RGP 920","0.08"
"706NFY","0.10"
"1JSK 17","0.14"
"791 ZED","0.02"
"734 3579","0.14"
"521 6PJ","0.17"
"PHH-3057","0.02"
"829-541","0.07"
"JJV-9646","0.15"
"1IMI 58","0.03"
"084 ZWG","0.12"
"OVH-9485","0.08"
"36Q 755","0.20"
"LZN 339","0.07"
"2S 5632B","0.07"
"83K•398","0.07"
"FOC 945","0.10"
"916-GVE","0.09"
"22L•517","0.04"
"645 TAX","0.01"
"7AD7949","0.03"
"328-HRB","0.15"
"XLI 547","0.15"
"3-38475","0.11"
"XBJ 550","0.04"
"30-04396","0.12"
"SQD5855","0.15"
"HUK7878","0.14"
"9D 0J8MDB","0.14"
"KJW 959","0.03"
"FBX-4223","0.16"
"AKI1911","0.05"
"461 SDV","0.20"
