"0","Car hit nor church","233","Whatever describe police level","LightSkyBlue","17","false","454.74","17R•744"
"1","Laugh yet","495","Western radio","SeaShell","1","true","395.61","GQX 532"
"2","Easy phone board because receive","390","Work trade other raise dinner","DarkGreen","92","true","349.89","33O•375"
"3","History recent who carry","429","Fear notice begin","FireBrick","54","true","27.24","41S•494"
"4","Interview seat get","96","Reveal order feeling price remain","Lime","82","false","243.52","437 QVA"
"5","Show information scientist Mr treat","312","Decision alone once","Azure","81","true","32.67","29-V679"
"6","Base main despite","285","Summer range offer","Cyan","44","true","184.25","270 7GQ"
"7","School interview employee road central","65","Notice tree test","FireBrick","73","false","53.33","1L 0774P"
"8","Trouble individual","255","Memory reflect","Tan","93","false","341.17","3975"
"9","Cultural eat our fear west","15","Past large herself","BlanchedAlmond","59","true","361.79","3-Q6147"
"10","Tell easy appear bad","300","Establish short","PaleVioletRed","27","false","102.66","9E YU383"
"11","Important himself difficult call","135","Detail worker officer effect green","DarkKhaki","99","false","199.75","85Y•318"
"12","World red usually mention","485","Talk action must hundred official","Peru","78","false","26.94","4B XE812"
"13","Painting center when role price","380","Full wish society","LightSeaGreen","57","true","211.45","JNB-6785"
"14","Man again current","164","Audience enter fish onto","BlueViolet","35","true","121.00","525 UAM"
"15","Us only cultural chance save","143","Year catch garden","Plum","38","false","288.73","VWU X27"
"16","Give animal rate","410","Continue foreign","DeepPink","98","false","191.66","H41 5UW"
"17","Enjoy provide by Democrat character","215","Growth the level note office","DarkBlue","39","true","470.48","SUM-7259"
"18","Eat leave best able","392","Adult test","Peru","61","true","405.72","532J7"
"19","Benefit example analysis specific","55","Them official chance","MediumPurple","67","true","233.85","ZDT-5776"
"20","Name appear great","179","Suggest go development","Blue","68","false","386.49","99S 333"
"21","Accept head role huge","195","Military become down hair","DarkSeaGreen","82","false","385.89","4MIR708"
"22","Table local mind exist system","419","Rather about vote","DodgerBlue","49","false","499.08","0TE M80"
"23","Stuff determine","92","Group conference","OliveDrab","48","true","367.14","64J 6853"
"24","Challenge why body pressure","427","Able season","Gray","77","true","244.72","SI4 J6W"
"25","Well light head","484","Recognize role bad","Snow","44","false","398.46","2ZY P98"
"26","Analysis price offer surface","236","Race upon","NavajoWhite","87","true","229.46","Q89-35N"
"27","Thus show heart daughter walk","275","Feel rich","Aquamarine","77","true","27.53","R 659091"
"28","Claim hotel politics prepare","376","Open human budget","DodgerBlue","98","true","122.00","2MB58"
"29","Local second system child there","62","Debate beyond service expect","Thistle","13","true","77.59","283-355"
"30","Hundred game life commercial shoulder","127","Only drive","DarkViolet","21","false","284.49","39-J047"
"31","Series describe join","156","Product reach current","HoneyDew","38","false","24.31","078-NZZ"
"32","We mind country necessary","83","Own learn either magazine","LightGreen","12","false","228.03","MMI 154"
"33","Trip recognize popular our","393","Teacher suggest help","Teal","21","true","494.86","ZPU 075"
"34","History soon professional","29","Owner make few there put","LavenderBlush","42","true","351.31","64Y K74"
"35","Become after north decade management","333","Ready who","SeaGreen","96","false","79.07","QZE-672"
"36","Car weight PM room also","71","Huge child beat war simply","DarkOliveGreen","7","true","223.64","4-00918"
"37","Citizen kind view much","467","Physical improve ever alone","OrangeRed","91","true","308.32","YV8 2759"
"38","Your stop cultural kind","50","Thing page town idea remember","MediumSeaGreen","46","true","376.29","319NQ"
"39","Tonight today there its","169","Medical admit oil","DarkCyan","23","true","283.34","4MG X99"
"40","Discussion when without speak fear","371","Understand discuss expect change","SlateGray","9","false","59.08","486-357"
"41","Stuff scene buy","274","At public tell life early","WhiteSmoke","24","false","221.77","78-S164"
"42","Pull wife nearly American","247","High cause ball less family","CadetBlue","60","true","429.76","LX-1598"
"43","Management reveal","404","Clear two hundred itself","RosyBrown","25","true","157.18","TDZ4086"
"44","Move blood data action","364","Television statement read drug","Coral","100","true","298.23","LFK-437"
"45","Box speech either country issue","488","Can drop hour loss","Magenta","31","true","16.24","820 YTP"
"46","Raise six","76","Reach myself notice vote","Magenta","43","true","465.54","YH8 R2N"
"47","Level account door skin","197","Small few budget","BlueViolet","82","false","89.98","0Q N1964"
"48","Staff choice do","379","Listen run resource read","HotPink","62","false","338.73","WKN-628"
"49","Represent discover record old","129","Itself personal college","DarkOliveGreen","61","true","56.69","ZQM 068"
"50","Vote call company service account","5","Its clearly second","DarkMagenta","77","true","432.54","MBE-1058"
"51","Three hospital simply","438","Factor case early project","Cyan","3","true","286.80","5GL6576"
"52","Think truth clear around","99","Interesting tax those phone south","Moccasin","89","true","464.82","736 RSV"
"53","Technology offer able customer","373","Son pattern","DarkGoldenRod","97","false","169.68","5ZXC196"
"54","Live condition save international","344","Drive state low west","FireBrick","85","false","92.43","ZZJ 138"
"55","Feeling near imagine everybody age","408","Fund evening financial seek response","LemonChiffon","6","true","276.25","SMW-824"
"56","Cost bad","402","Off spend east","ForestGreen","38","true","22.97","TIK8693"
"57","Record fine","342","True catch middle","Violet","46","true","498.80","ZM-7804"
"58","Technology daughter last large apply","27","Result dark stay will back","GhostWhite","82","true","143.51","9V 5015X"
"59","Happy almost rule none","9","All fall","FloralWhite","18","false","183.18","VCE 992"
"60","Feel economic kitchen though","360","Size energy feel almost","NavajoWhite","93","false","102.72","9-E4289"
"61","Car outside wife manage","385","Simply story deep light hospital","DarkSlateGray","50","true","376.81","G 187075"
"62","Person religious development","20","Determine pay foot fall","FireBrick","22","false","205.63","YX4 S9Y"
"63","Production some heavy share","115","Seat land character air baby","Fuchsia","53","false","394.11","9-1741B"
"64","Inside book activity voice","494","Speak group fine set","DarkSalmon","1","true","106.14","WKN-628"
"65","Represent power challenge government become","387","Record everyone factor not","SpringGreen","26","false","474.79","92YR9"
"66","Already mention somebody","485","Position spring","SpringGreen","41","false","471.84","695-GVG"
"67","Simply model way its boy","338","Main like manager","Khaki","83","true","257.85","3IU 871"
"68","Century economy adult","421","Trouble five senior me","HotPink","37","false","295.80","8IY P53"
"69","Minute factor every","28","Pressure difficult","Bisque","20","true","309.41","HDO 236"
"70","Office town leg quite","322","Tell our likely peace","LawnGreen","88","true","87.06","IWE-635"
"71","Religious executive officer better","97","Risk appear","DodgerBlue","98","true","164.86","299Z7"
"72","Cover design able maybe","408","Western kitchen Mr her","DarkKhaki","96","false","199.93","9AO4765"
"73","Down economic carry few","476","Hundred arm","Indigo","12","true","432.75","4Q R2196"
"74","Standard cost trial property","389","Say generation war","Navy","26","true","110.48","982-VUCI"
"75","Management glass culture","309","Participant enjoy partner","Gray","84","true","398.72","RCP-528"
"76","May hope keep budget","462","Reflect article method","LightSteelBlue","39","false","145.25","1UM M80"
"77","Sign issue central national relationship","151","For conference east","GhostWhite","16","false","265.98","706NFY"
"78","Experience try defense","448","Box kind","Navy","61","true","87.74","MOD 279"
"79","Cup institution team could anything","17","Whatever full kid if and","OldLace","67","false","408.53","BKR6980"
"80","Throughout upon lead word","96","Drive race","LightSeaGreen","92","true","231.45","01Y Z11"
"81","Role sing as","224","Best sister city though","Lime","14","true","186.92","420-CNS"
"82","Activity address","397","Seem seven","DarkSalmon","27","true","274.83","13-12884"
"83","Throw policy would","368","Example fall success","HotPink","33","false","411.87","1-60342"
"84","Political professor","176","Sing everyone rather","Lavender","25","false","47.97","D39 7EL"
"85","Consider land","231","Toward right ability sort","IndianRed","10","false","57.67","52-F132"
"86","Have institution","110","Democratic recent kind here hospital","Coral","28","false","249.21","UIL-918"
"87","Paper threat","337","Just cost","Aquamarine","32","true","15.01","467 PUD"
"88","Grow get each","191","Return artist shoulder six current","LightGreen","96","false","90.93","CBQ 475"
"89","Tell entire pretty","61","Certainly movement drug know","Turquoise","28","true","339.81","9-3214N"
"90","Trade husband may wall country","456","On friend finish finish","SandyBrown","17","false","140.42","WKF 808"
"91","Other pattern cold quality buy","360","These per for","RoyalBlue","95","false","286.91","9ON 632"
"92","Road end water somebody","288","Science campaign attack other cup","Lavender","14","false","478.65","592 AVP"
"93","Process myself practice","73","Political model account","LightYellow","27","true","294.92","703 OQO"
"94","Recently enjoy","438","Anything election with site","FloralWhite","24","false","403.77","ABT-667"
"95","That area message","97","Try lot report building health","LightSalmon","82","true","337.73","WFN-5348"
"96","Trip worry seat southern","474","Health put part between","Thistle","6","true","180.65","WSN-9017"
"97","Look feeling treat team bed","358","Hope window staff item","Chocolate","81","false","163.36","186-103"
"98","Few business drop physical painting","18","Traditional guess attorney add reflect","Cornsilk","33","true","198.67","0G 09796"
"99","Explain data shake","328","Population Democrat computer","DarkSlateGray","37","true","13.88","9-Q1282"
"100","Single attorney force quickly","438","His explain kind","MediumSeaGreen","46","true","200.90","W67 7KT"
"101","Reduce beyond","232","Fear become stop","Tan","65","false","2.92","X29-FNT"
"102","Poor structure those","293","Energy reason change manage","SpringGreen","21","true","430.29","0XB Q83"
"103","Watch important lead population","437","Culture data leader history","PapayaWhip","46","false","5.42","732 7516"
"104","Series new hotel","7","History necessary know still sign","DarkSlateBlue","100","false","252.46","UBB-155"
"105","Him point write sister open","91","Office travel shake similar sign","IndianRed","13","false","357.07","OI 88986"
"106","Compare stage trade watch many","42","Pretty present laugh","DarkGreen","36","false","0.61","WAX-102"
"107","List unit interesting","306","Radio both","Navy","88","true","426.39","51H 7356"
"108","Attack room determine","437","Town finally board house","Violet","68","true","9.02","HAZ 602"
"109","Whom upon opportunity","186","Attorney Republican office approach financial","OliveDrab","10","false","486.59","928 BBY"
"110","Manager bank clear pretty","202","Poor four realize scientist law","Azure","89","true","232.72","967 0DS"
"111","Two without","402","Your bit investment board early","IndianRed","80","false","84.96","XSI 663"
"112","Car fall","102","Fine sit result","Purple","35","false","216.51","283-355"
